L. Messi,31,Argentina,94
Cristiano Ronaldo,33,Portugal,94
Neymar Jr,26,Brazil,92
De Gea,27,Spain,91
K. De Bruyne,27,Belgium,91
E. Hazard,27,Belgium,91
L. Modrić,32,Croatia,91
L. Suárez,31,Uruguay,91
Sergio Ramos,32,Spain,91
J. Oblak,25,Slovenia,90
R. Lewandowski,29,Poland,90
T. Kroos,28,Germany,90
D. Godín,32,Uruguay,90
David Silva,32,Spain,90
N. Kanté,27,France,89
P. Dybala,24,Argentina,89
H. Kane,24,England,89
A. Griezmann,27,France,89
M. ter Stegen,26,Germany,89
T. Courtois,26,Belgium,89
Sergio Busquets,29,Spain,89
E. Cavani,31,Uruguay,89
M. Neuer,32,Germany,89
S. Agüero,30,Argentina,89
G. Chiellini,33,Italy,89
K. Mbappé,19,France,88
M. Salah,26,Egypt,88
Casemiro,26,Brazil,88
J. Rodríguez,26,Colombia,88
L. Insigne,27,Italy,88
Isco,26,Spain,88
C. Eriksen,26,Denmark,88
Coutinho,26,Brazil,88
P. Aubameyang,29,Gabon,88
M. Hummels,29,Germany,88
Marcelo,30,Brazil,88
G. Bale,28,Wales,88
H. Lloris,31,France,88
G. Higuaín,30,Argentina,88
Thiago Silva,33,Brazil,88
S. Handanovič,33,Slovenia,88
G. Buffon,40,Italy,88
S. Umtiti,24,France,87
M. Icardi,25,Argentina,87
K. Koulibaly,27,Senegal,87
P. Pogba,25,France,87
K. Navas,31,Costa Rica,87
R. Lukaku,25,Belgium,87
C. Immobile,28,Italy,87
Jordi Alba,29,Spain,87
D. Mertens,31,Belgium,87
J. Vertonghen,31,Belgium,87
M. Hamšík,30,Slovakia,87
I. Rakitić,30,Croatia,87
Piqué,31,Spain,87
L. Sané,22,Germany,86
Bernardo Silva,23,Portugal,86
Ederson,24,Brazil,86
S. Mané,26,Senegal,86
V. van Dijk,26,Netherlands,86
R. Sterling,23,England,86
Roberto Firmino,26,Brazil,86
R. Varane,25,France,86
M. Verratti,25,Italy,86
Alex Sandro,27,Brazil,86
Douglas Costa,27,Brazil,86
T. Müller,28,Germany,86
Thiago,27,Spain,86
M. Reus,29,Germany,86
Azpilicueta,28,Spain,86
L. Bonucci,31,Italy,86
T. Alderweireld,29,Belgium,86
M. Pjanić,28,Bosnia Herzegovina,86
M. Benatia,31,Morocco,86
M. Özil,29,Germany,86
Fernandinho,33,Brazil,86
Iniesta,34,Spain,86
M. Škriniar,23,Slovakia,85
S. Milinković-Savić,23,Serbia,85
Marco Asensio,22,Spain,85
N. Fekir,24,France,85
Alisson,25,Brazil,85
J. Kimmich,23,Germany,85
Saúl,23,Spain,85
R. Mahrez,27,Algeria,85
D. Alaba,26,Austria,85
Koke,26,Spain,85
A. Lacazette,27,France,85
K. Manolas,27,Greece,85
N. Otamendi,30,Argentina,85
Parejo,29,Spain,85
Paulinho,29,Brazil,85
W. Szczęsny,28,Poland,85
A. Sánchez,29,Chile,85
Y. Brahimi,28,Algeria,85
J. Boateng,29,Germany,85
A. Vidal,31,Chile,85
I. Perišić,29,Croatia,85
E. Džeko,32,Bosnia Herzegovina,85
S. Khedira,31,Germany,85
Diego Costa,29,Spain,85
R. Nainggolan,30,Belgium,85
Naldo,35,Brazil,85
B. Matuidi,31,France,85
Miranda,33,Brazil,85
K. Benzema,30,France,85
Filipe Luís,32,Brazil,85
V. Kompany,32,Belgium,85
Pepe,35,Portugal,85
Z. Ibrahimović,36,Sweden,85
D. Sánchez,22,Colombia,84
J. Giménez,23,Uruguay,84
Alex Telles,25,Brazil,84
A. Laporte,24,France,84
Bruno Fernandes,23,Portugal,84
N. Süle,22,Germany,84
A. Martial,22,France,84
D. Alli,22,England,84
Fabinho,24,Brazil,84
Marquinhos,24,Brazil,84
William Carvalho,26,Portugal,84
Jorginho,26,Italy,84
F. Thauvin,25,France,84
Carvajal,26,Spain,84
M. Depay,24,Netherlands,84
H. Son,25,Korea Republic,84
A. Lopes,27,Portugal,84
S. de Vrij,26,Netherlands,84
M. Perin,25,Italy,84
J. Cuadrado,30,Colombia,84
Iago Aspas,30,Spain,84
B. Leno,26,Germany,84
N. Matić,29,Serbia,84
L. Hrádecký,28,Finland,84
Illarramendi,28,Spain,84
K. Walker,28,England,84
I. Gündoğan,27,Germany,84
José Callejón,31,Spain,84
A. Di María,30,Argentina,84
M. Mandžukić,32,Croatia,84
Willian,29,Brazil,84
Sergio Asenjo,29,Spain,84
E. Banega,30,Argentina,84
A. Witsel,29,Belgium,84
D. Payet,31,France,84
Jonas,34,Brazil,84
Sokratis,30,Greece,84
S. Ruffier,31,France,84
Falcao,32,Colombia,84
K. Schmeichel,31,Denmark,84
Raúl Albiol,32,Spain,84
A. Gómez,30,Argentina,84
A. Barzagli,37,Italy,84
Quaresma,34,Portugal,84
A. Robben,34,Netherlands,84
O. Dembélé,21,France,83
Gabriel Jesus,21,Brazil,83
Ronaldo Cabrais,26,Brazil,83
Josué Chiamulera,26,Brazil,83
Louri Beretta,26,Brazil,83
P. Kimpembe,22,France,83
N. Keïta,23,Guinea,83
C. Tolisso,23,France,83
T. Lemar,22,France,83
K. Coman,22,France,83
J. Tah,22,Germany,83
Anderson Talisca,24,Brazil,83
T. Werner,22,Germany,83
A. Rabiot,23,France,83
L. Goretzka,23,Germany,83
Q. Promes,26,Netherlands,83
H. Ziyech,25,Morocco,83
Lucas Vázquez,27,Spain,83
Y. Carrasco,24,Belgium,83
Gerard Moreno,26,Spain,83
Felipe,29,Brazil,83
M. Kovačić,24,Croatia,83
Kepa,23,Spain,83
Manu Trigueros,26,Spain,83
S. Gnabry,22,Germany,83
J. Pickford,24,England,83
S. Savić,27,Montenegro,83
J. Stones,24,England,83
Suso,24,Spain,83
J. Draxler,24,Germany,83
Felipe Anderson,25,Brazil,83
Lucas Moura,25,Brazil,83
Danilo Pereira,26,Portugal,83
Nacho Fernández,28,Spain,83
T. Horn,25,Germany,83
Allan,27,Brazil,83
F. Acerbi,30,Italy,83
Sergi Roberto,26,Spain,83
Rodrigo,27,Spain,83
Pizzi,28,Portugal,83
K. Kampl,27,Slovenia,83
Neto,28,Brazil,83
O. Baumann,28,Germany,83
I. Gueye,28,Senegal,83
H. Mkhitaryan,29,Armenia,83
Marcos Alonso,27,Spain,83
D. Subašić,33,Croatia,83
K. Glik,30,Poland,83
K. Strootman,28,Netherlands,83
B. Dost,29,Netherlands,83
Oscar,26,Brazil,83
M. Balotelli,27,Italy,83
Luiz Gustavo,30,Brazil,83
Giuliano,28,Brazil,83
David Luiz,31,Brazil,83
R. Fährmann,29,Germany,83
Juan Mata,30,Spain,83
Adán,31,Spain,83
Rui Patrício,30,Portugal,83
Y. Sommer,29,Switzerland,83
Javi Martínez,29,Spain,83
L. Bender,29,Germany,83
Lucas Leiva,31,Brazil,83
S. Mandanda,33,France,83
Cesc Fàbregas,31,Spain,83
M. Dembélé,30,Belgium,83
F. Ribéry,35,France,83
R. Jarstein,33,Norway,83
D. De Rossi,34,Italy,83
Pepe Reina,35,Spain,83
J. Pavlenka,26,Czech Republic,82
M. de Ligt,18,Netherlands,82
Rodri,22,Spain,82
Arthur,21,Brazil,82
G. Donnarumma,19,Italy,82
Rosberto Dourado,30,Brazil,82
Juiano Mestres,34,Brazil,82
Raphaelito Anjos,30,Brazil,82
Gelson Martins,23,Portugal,82
Gonçalo Guedes,21,Portugal,82
L. Torreira,22,Uruguay,82
Malcom,21,Brazil,82
Pau López,23,Spain,82
L. Hernández,22,France,82
C. Lenglet,23,France,82
A. Kramarić,27,Croatia,82
A. Robertson,24,Scotland,82
Dani García,28,Spain,82
F. Bernardeschi,24,Italy,82
J. Brandt,22,Germany,82
D. Rugani,23,Italy,82
Samu Castillejo,23,Spain,82
João Cancelo,24,Portugal,82
A. Romagnoli,23,Italy,82
T. Partey,25,Ghana,82
Fred,25,Brazil,82
J. Vardy,31,England,82
A. Belotti,24,Italy,82
E. Forsberg,26,Sweden,82
J. Lingard,25,England,82
F. Vázquez,29,Argentina,82
E. Višća,28,Bosnia Herzegovina,82
A. Rüdiger,25,Germany,82
A. Florenzi,27,Italy,82
H. Maguire,25,England,82
T. Meunier,26,Belgium,82
S. Sané,27,Senegal,82
G. Kondogbia,25,Central African Rep.,82
Rafinha,25,Brazil,82
Gabriel Paulista,27,Brazil,82
Morata,25,Spain,82
J. Cillessen,29,Netherlands,82
W. Ben Yedder,27,France,82
C. Bakambu,27,DR Congo,82
Pablo Sarabia,26,Spain,82
W. Zaha,25,Ivory Coast,82
Luis Alberto,25,Spain,82
Jonathan Viera,28,Spain,82
Bartra,27,Spain,82
S. Coates,27,Uruguay,82
Willian José,26,Brazil,82
Mário Fernandes,27,Russia,82
Víctor Ruiz,29,Spain,82
T. Delaney,26,Denmark,82
K. Casteels,26,Belgium,82
M. Götze,26,Germany,82
S. Mustafi,26,Germany,82
J. Pastore,29,Argentina,82
Pedro,30,Spain,82
G. Bonaventura,28,Italy,82
R. Bürki,27,Switzerland,82
Taison,30,Brazil,82
S. Nzonzi,29,France,82
Marlos,30,Ukraine,82
A. Ramsey,27,Wales,82
K. Trippier,27,England,82
A. Kolarov,32,Serbia,82
G. Sigurðsson,28,Iceland,82
S. Giovinco,31,Italy,82
